"","title","genderCoded"
"941","Remembering Lloyd N. Unsell","male"
"942","Remembering Nobel laureate-Rita Levi Montalcini: On her successful completion of 100 years","female"
"943","Remembering Professor Shogo Kuwahara (16 March 1921-6 January 2008) OBITUARY","male"
"944","Remembering William B. Kannel, MD, MPH (1923-2011) Obituary","male"
"945","Remembering a teacher","male"
"946","Remembrances of Patrick Wall","male"
"947","Reminiscences of Bernard as a colleague and friend","male"
"948","Rene Koenig's article on sociology in Germany","male"
"949","Rene du Mesnil de Rochemont (1901-1984) - A look back at his life and work","male"
"950","Research is in my blood' - Dr. Lorne Golub, developer of Periostat receives the ADA's Gold Medal Award for Excellence in Dental Research","male"
"951","Research prizes to P. Schwille and P. Fromherz","none"
"952","Residing in Farewell: On the Road with Rosario Ferre","female"
"953","Retirement of Editor-in-Chief Bruce Stone","male"
"954","Retirement of Prof. Dieter Jahn","male"
"955","Rex E. Shepherd(1946-2003) - Obituary","male"
"956","Rhys Jones medal for outstanding contribution to Australian archaeology: Mike Smith","male"
"957","Richard Charles Pfister, 1933-2003 - Memorial","male"
"958","Richard D. Sacks - Obituary","male"
"959","Richard Day Deslattes - Obituary","male"
"960","Richard G. Waterman - Obituary","male"
"961","Richard Gaydos In Memoriam","male"
"962","Richard Lee Hester (1923-2002)","male"
"963","Richard Miles - Tribute","male"
"964","Richard P. Fall 1928-2000","male"
"965","Richard Penrose Schmidt, MD (1921-2008) - In memoriam","male"
"966","Richard Starr Ross - Profiles in cardiology","male"
"967","Richard Thomas Robiscoe","male"
"968","Richardd M. Pack - In-Memoriam","male"
"969","Rites of passage in the life story of exceptional mountain fiddler Thomas Jefferson Jarrell","male"
"970","Riviere receives high honors","male"
"971","Robbie Case (1944-2000) - Obituary","male"
"972","Robert A. Mundell","male"
"973","Robert Bresson, 1901-1999","male"
"974","Robert Gutman 1926-2007","male"
"975","Robert J. Aumann","male"
"976","Robert J. Bermowitz 1941-1999 - Necrology","male"
"977","Robert J. Gatchel - Award for distinguished professional contributions to applied research","male"
"978","Robert John Lansdown - Obituary","male"
"979","Robert Kroes - In memorian","male"
"980","Robert M. Guion (1924-2012) OBITUARY","male"
"981","Robert M. Mitchum, Jr. - Sidney Powers Memorial Award","male"
"982","Robert Manuel Cook, July 4, 1909-August 10, 2000 - In memoriam","male"
"983","Robert Mark Freedom MD, FRCPC, FACC, O. Ont","male"
"984","Robert Mutt","male"
"985","Robert N. Colwell 1918-2005 - In memoriam","male"
"986","Robert P. Bergman - Obituary","male"
"987","Robert Peter Gillis (1946-1999) - Obituary","male"
"988","Robert W. Pennak - Obituary","male"
"989","Robert William Gee AM 1927-9 May 2004 - Obituary","male"
"990","Robert William Watton Obituary","male"
"991","Robin Hartshorne - On the occasion of his 60(th) birthday - Dedication","male"
"992","Rodney Sweetnam OBITUARY","male"
"993","Roger G. Alexander, Jr. (1922-2002)","male"
"994","Ron E. Perez - Mixing chemical engineering with patent law","male"
"995","Ronald Carl Alan Pearson Obituary","male"
"996","Ronald Crichton","male"
"997","Ronald H. Rozensky Award for Distinguished Professional Contributions to Institutional Practice","male"
"998","Rose Bampton","female"
"999","Roselyn Adele Walker - Early retirement from the directorship of the National Museum of African Art","female"
"1000","Rosemarie Rizzo parse over the years","female"
"1001","Ross Galbraith Mitchell - Obituary","male"
"1002","Ross Stretton","male"
"1003","Roy Austen Glover Obituary","male"
"1004","Rudolf Albert von Koelliker","male"
"1005","Rudolf Arnheim - (1904-2007)","male"
"1006","Rudolf Lenk (1929-1998)","male"
"1007","Rudolph Glossop and the development of 'Geotechnology'","male"
"1008","Rudy Autio - Obituary","male"
"1009","Ruth Hubbard Cousins (1920-2007)","female"
"1010","Ruth Porter OBITUARY","female"
"1011","SLATER,TREVOR,FRANK (1931-1992) - IN MEMORIAM","male"
"1012","STEFAN BRINKMANN","male"
"1013","Salambek Naibovich Khadzhiev - Chronicle","male"
"1014","Salute to Guy Gauthier 1930-2010 Cinema critique had works published","male"
"1015","Salvatore Restivo (1940-2008) OBITUARY","male"
"1016","Samson Wright (1899-1956): physiologist extraordinary","male"
"1017","Samuel Roger Rimmer, 1944-2008 IN MEMORIAM","male"
"1018","Sarcoidosis history factoid - Three portraits of Louis Siltzbach (1906-1980)","male"
"1019","Sarton medal - Mary Jo Nye","female"
"1020","Saul Roseman, 1921-2011 OBITUARY","male"
"1021","Saw Taik Leong - Obituary","male"
"1022","Schindler who pioneered gastroscopy","male"
"1023","Selected Chronological Bibliography of Richard A. Macksey's Works","male"
"1024","Serge Golovine - Obituary","male"
"1025","Sergei Anatolyevich Starostin - (March 24, 1953-September 30, 2005) - Obituary","male"
"1026","Sergei Issaev, murdered director of GITIS (Russian Academy of Theater Arts) - In-memoriam","male"
"1027","Sergei Petrovich Denisov (on his 70th birthday)","male"
"1028","Sergej Sergejewitsch Korsakow (1854-1900)","male"
"1029","Sergej Stepanovich Tschachotin: Experimental cytologist and political critic (1883-1973)","male"
"1030","Servants and Tour operators On the Death of Otto-Jurgen Burba","none"
"1031","Seventeeth Century Cards","none"
"1032","Sheldon K. Friedlander (1927-2007)","male"
"1033","Shemekia Copeland Rising Star Blues Artist/Group","female"
"1034","Shulman, Morton P. - Obituary","male"
"1035","Sigma Theta Tau honors Dodd for relief of cancer treatment side effects - Marylin J. Dodd","female"
"1036","Sigmund S. Socransky, DDS Obituary","male"
"1037","Simon Larach - Obituary","male"
"1038","Singing saved his life... - Johan Botha","male"
"1039","Sir Charles Bell (1774-1842): Contributions to neuro-ophthalmology","male"
"1040","Sir Colin MacKenzie: A remarkable legacy!","male"
"1041","Sir Joseph Cheyne, BT, OBE (1914-2007) - Obituary","male"
"1042","Sir Patrick Alfred Caldwell-Moore (1923-2012)","male"
"1043","Sir Peter Frederick Strawson has died","male"
"1044","Sir Thomas Muir, 1844-1934","male"
"1045","Sir William Osler and gastroenterology","male"
"1046","Sir Winston Leonard Spencer Churchill (1874-1965)","male"
"1047","Solid-phase synthesis for a lifetime","none"
"1048","Song of himself - J. D. McClatchy","male"
"1049","South Korea Misook Seo","female"
"1050","Special Issue in Honor of Dr. George H. DeVries","male"
"1051","Special Issue on the Occasion of the 80(th) Birthday of A. J. (Sandy) Bruce-50 Years of Shrimping in the Indo-West Pacific","male"
"1052","Special issue dedicated to Prof. Raimundo Braz-Filho on the occasion of his 70th birthday","male"
"1053","Special issue in honor of Edsger W. Dijkstra","male"
"1054","Special issue: In honour of Hans-Joachim Kunze, Professor Emeritus - Preface","male"
"1055","Specialist life - Prof. John J. Sciarra","male"
"1056","Spotlight: Helmut Drexler, MD, FESC","male"
"1057","Stamps of greatness Robert Heinrich Herman Koch (1843-1910)","male"
"1058","Stanley Holden - Obituary","male"
"1059","Stanley Kubrick - In-memoriam","male"
"1060","Stem cells, differentiation and cancer - Mentors, colleagues and academic administration - Lorraine J. Gudas","female"
"1061","Stephen Dal Nogare: The person behind the award","male"
"1062","Stephen P. Boyd - 1999 IEEE Fellows","male"
"1063","Steven Karger (1959-2008) - Obituary","male"
"1064","Stuart Roath - Obituary","male"
"1065","Svensson expressed hope, commitment before fatal accident","male"
"1066","Syb van der Meer - Obituary","male"
"1067","Sydney Abbey 1917-1999 - Tribute","female"
"1068","Sylvia Chapman","female"
"1069","Sylvia Ray Ingold - Obituary","female"
"1070","T. H. Seldon (1905-1991)","male"
"1071","TAPPI gold medal to Nils Hartler - Chips and cooking red thread in long research achievement","male"
"1072","THE LITERARY AND HISTORICAL CONTRIBUTIONS OF JELLIFFE,SMITH,ELY","male"
"1073","THE RAIDER'S RADAR","male"
"1074","THOMAS MAIRS 1937-2007 Memorial","male"
"1075","THOMAS ROBERT PEACOCK Obituary","male"
"1076","TRAILBLAZER XIANGMEI GU","female"
"1077","TRIBUTE: GEORGE G. (GERRY) GUILBAULT","male"
"1078","Takaaki YOSHIMOTO (1924-)","male"
"1079","Tanja Liedtke","female"
"1080","Tarin Chaplin (1941-2009)","female"
"1081","Tatsuo Tokoo (1940-2006)","none"
"1082","Testimony to Dr. John Tanaka's reign as EI Magazine Editor-in-Chief","male"
"1083","The 1999 Massry Prize in Nephrology, Physiology and Related Fields goes to Professor Gunter Blobel of the Rockefeller University, New York, NY - Nephrology","male"
"1084","The 2000 Benjamin Franklin Medal in Engineering presented to James R. Powell and Gordon T. Danby","male"
"1085","The 2004 Jay Wright Forrester award - Citation for the winner: Eric F. Wolstenholme","male"
"1086","The 2008 Fred Waldorf Stewart Award: Paul Peter Rosen, MID","male"
"1087","The 2013 Thomas Hunt Morgan Medal Thomas Douglas Petes","male"
"1088","The 70th birth anniversary of Prof. Julian Chojnowski","male"
"1089","The Endocrine Society 2006 Laureate Awards - Citation of the 2006 Richard E. Weitzman Memorial Award of the Endocrine Society to Dr. Fabio Broglio","male"
"1090","The Endocrine Society 2007 Laureate Awards - Citation for the 2007 Fred Conrad Koch Award of the Endocrine Society to Dr. John D. Baxter","male"
"1091","The Nobel prize in Chemistry for 2003","none"
"1092","The XIX Ottorino Rossi Award","male"
"1093","The expanding universe of Zev Naveh","male"
"1094","The founder-members of the German Society for Anesthesiology","none"
"1095","The man who teached sciences by travelling around the world - R.J. Wegmann","male"
"1096","The neurobiology of consciousness and Sir Francis Crick","male"
"1097","The pain transform - 50 years of theatre life: Hildegard Schmahl is Stefan Pucher's prospero in the ""Sturm"" - A portrait","female"
"1098","The phenomenon of Vienozinskis's creativity","male"
"1099","The regulation of glucose uptake in muscle: The work of Charles R. Park","male"
"1100","The return of the prodigal son: Walter Acosta of Uruguay","male"
"1101","The sound of dance - Robert Irving","male"
"1102","The truth of poetry - the truth of life. On Danuta Zamacinska","female"
"1103","The wider influence of the work of V. A. Yakubovich","male"
"1104","This issue is dedicated to the memory of Guida Mary Crowley 11 October 1915 to 21 February 2011","female"
"1105","Thomas (""Tom"") John Parkinson - Obituary","male"
"1106","Thomas E. Andreoli, MD 1935-2009 IN MEMORIAM","male"
"1107","Thomas G. Pickering 1940-2009 In Memoriam","male"
"1108","Thomas H. (Tommy) Flowers - Obituary","male"
"1109","Thomas Hans Newton, MD 1925-2010 In Memoriam","male"
"1110","Thomas Joseph Delaney - Obituary","male"
"1111","Thomas L. Griffiths Award for Distinguished Scientific Early Career Contributions to Psychology","male"
"1112","Thomas Vincent Santulli: A central figure in the development of pediatric surgery in New York City","male"
"1113","Tikhon Khrennikov","male"
"1114","To the 65th birthday of Professor Dr. med. habil. Heinz Mattig","male"
"1115","To the memory of Professor Pavel Marikovsky (1912-2008) Obituary","male"
"1116","Tom Carruthers (1928-2006)","male"
"1117","Tor G. Karling - 65 years of research on turbellarian flatworms","male"
"1118","Tribute to David L. Nahrwold, MD, Editor Emeritus, Journal of Laparoendoscopic Surgery","male"
"1119","Tribute to Edward Said","male"
"1120","Tribute to Jacques Pous - In memoriam","male"
"1121","Tribute to Jean Chesneaux","male"
"1122","Tribute to Prof. John C. Wright","male"
"1123","Tribute to Tom Rowland","male"
"1124","Tribute to William H. Miller","male"
"1125","Two awards for M. Shibasaki","male"
"1126","UDRI's Bob Kauffman enjoys all STLE has to offer","male"
"1127","US Oncology Honors ONS Members for Leadership and Service","none"
"1128","Umesh Chandra Pati (1950-2006) - Obituary","male"
"1129","Untitled","none"
"1130","Untitled","none"
"1131","Unveiling the Right Side Joan Miro and I","male"
"1132","Ursula Vaughan Williams (1911-2007)","female"
"1133","Ursula Vaughan Williams (1911-2007) Obituary","female"
"1134","VINCENT FREDRICK MUNRO 2 October 1936-22 December 2009 OBITUARY","male"
"1135","Vasilii Zakharovich Vlasov on the centenary of his birth","male"
"1136","Vert Mooney, MD 1931-2009 in memoriam","male"
"1137","Viktor Matveevich Bukhshtaber - (on his 60th birthday)","male"
"1138","Vinayak V. Kane - Obituary","male"
"1139","Vincent J. Hearing, PhD","male"
"1140","Vladimir Leonidovitch Doshchitsyn (To the 70-th Birthday)","male"
"1141","Vladimir Mikhailovich Fridkin - (On the occasion of his 75th birthday)","male"
"1142","W. F. H. Jarrett DEATHS","male"
"1143","W. John O'Brien: A distinguished limnologist and ecologist, and a wonderful story-teller","male"
"1144","W. M. Taylor","male"
"1145","W. Proctor Harvey - 1918-2007 - In memoriam","male"
"1146","W.R. Rearick (1930-2004) - Obituary","male"
"1147","WHAT HAPPENED AT THE OLD BAILEY","none"
"1148","WILLIAM DANIEL SUDIA 1922-2010 OBITUARY","male"
"1149","Waldemiro Bazzanella. Remembering a friend","male"
"1150","Wallace Gladstone Grigor Obituary","male"
"1151","Wallace Spencer Pitcher 1919-2004 - Obituary","male"
"1152","Walter Schlesinger","male"
"1153","Walter Thomas James Morgan: a biographical sketch","male"
"1154","Wanda Golonka","female"
"1155","Ward Stavig (1948-2006) - Obituary","male"
"1156","Wassily Leontief","male"
"1157","Wayne L. Cody","male"
"1158","Who is Sarkozy? - Nicolas Sarkozy","male"
"1159","Wieland Ramm 70 years old","male"
"1160","Wilbert J. McKeachie Award","male"
"1161","Wilfrid Gerald Harding Obituary","male"
"1162","William Bright - In memoriam","male"
"1163","William Craig Reynolds - Obituary","male"
"1164","William E. McEwen - 1922-2002","male"
"1165","William Faulkner and the Ledgers of History","male"
"1166","William Glenn Sly - Obituary","male"
"1167","William H. Pearson","male"
"1168","William J. Zontine - December 30, 1920-January 4, 2007 - In memoriam","male"
"1169","William Joseph Reals, MD, FCAP - In memoriam","male"
"1170","William R. Laney Receives Branemark Osseointegration Award","male"
"1171","William Roseberry (1950-2000): A remembrance","male"
"1172","William Sprott Pollitzer, 6 May 1923-12 March 2002","male"
"1173","William T Close Obituary","male"
"1174","Winthrop D. Jordan - Obituary","male"
"1175","Wolfgang Mommsen, 1930-2004","male"
"1176","Work and pleasure","none"
"1177","Xiangtong Zhang's study on dendritic function: Gold is shining everywhere","male"
"1178","Yahya Cohen (1920-2003), FAMS - Obituary","male"
"1179","Yakov Zalmanovich Tsypkin - 19 September 1919 2 December 1997 - Obituary","male"
"1180","Yasunaru Kawashima","male"
"1181","Yinglai Wang: an admirable biochemist for his foresightedness and selflessness","male"
"1182","Yokoshi and Heggen's fine madness (Dancer/choreographers Yasuko Yokoshi and Gonnie Heggen team up for 'Royal Madness')","female"
"1183","Young American (Norman Bluhm)","male"
"1184","Youth Ballet JOHN NEUMEIER He is a well-known American ballet dancer, choreographer, and director","male"
"1185","Yuri A. Chizmadzhev (to the 80th anniversary)","male"
"1186","Yurko Duda, a physicist like few ones","male"
"1187","Yury Akhmetovich Aminov (on his seventieth birthday). he is a professor at the National Academy of Sciences of Ukraine, doctor of Physical and Mathematical Sciences, published several works","male"
"1188","Zhores Ivanovich Alferov (on his 80th birthday)","male"
"1189","Zongluo Luo, a Chinese Haigui in 1930s","male"
"1190","lynn seymour","female"
