"Article_ID","Full_Title","Link_to_Article","Journal","Year","Month","First Author Gender","pubmed_query","pubmed_id","ForeName","LastName"
"Lawitz et al. (2014)","Sofosbuvir and ledipasvir fixed-dose combination with and without ribavirin in treatment-naive and previously treated patients with genotype 1 hepatitis C virus infection (LONESTAR): an open-label| randomised| phase 2 trial","http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(13)62121-2/abstract","The Lancet","2014","02 - Feb","Male","Lawitz 2014 Sofosbuvir ledipasvir fixed combination without ribavirin treatment naive previously treated patients genotype hepatitis virus infection LONESTAR label randomised phase trial","24209977.0","Eric","Lawitz"
"Lawlor et al. (2002)","Role of endogenous oestrogen in aetiology of coronary heart disease: analysis of age related trends in coronary heart disease and breast cancer in England and Wales and Japa","","BMJ","2002","08 - Aug","Female","Lawlor 2002 endogenous oestrogen aetiology coronary heart disease analysis related trends coronary heart disease breast cancer England Wales","12169507.0","Debbie A","Lawlor"
"Lawlor et al. (2002)","Socioeconomic position in childhood and adulthood and insulin resistance: cross sectional survey using data from British women's heart and health study","","BMJ","2002","10 - Oct","Female","Lawlor 2002 Socioeconomic position childhood adulthood insulin resistance cross sectional survey using British women heart health study","12376440.0","Debbie A","Lawlor"
"Lawlor et al. (2003)","Association of insulin resistance with depression: cross sectional findings from the British women's heart and health study","","BMJ","2003","12 - Dec","Female","Lawlor 2003 Association insulin resistance depression cross sectional findings British women heart health study","","",""
"Lawlor et al. (2012)","Effect of age on decisions about the numbers of embryos to transfer in assisted conception: a prospective study","http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(11)61267-1/abstract","The Lancet","2012","02 - Feb","Female","Lawlor 2012 Effect decisions about numbers embryos transfer assisted conception prospective study","22243709.0","Debbie A","Lawlor"
"Lawrenson et al. (2003)","Security duties in Northern Ireland and the mental health of soldiers: prospective study","","BMJ","2003","12 - Dec","Male","Lawrenson 2003 Security duties Northern Ireland mental health soldiers prospective study","14670882.0","Geoff","Lawrenson"
"Lazarus et al. (2012)","Antenatal Thyroid Screening and Childhood Cognitive Function","http://www.nejm.org/doi/pdf/10.1056/NEJMoa1106104","NEJM","2012","02 - Feb","Unknown","Lazarus 2012 Antenatal Thyroid Screening Childhood Cognitive Function","22316443.0","John H","Lazarus"
"Lea et al. (2005)","The Relationship Between Magnitude of Proteinuria Reduction and Risk of End-stage Renal Disease Results of the African American Study of Kidney Disease and Hypertension","http://archinte.jamanetwork.com/article.aspx?articleid=486515","Archives of Internal Medicine","2005","04 - Apr","Female","Lea 2005 Relationship Between Magnitude Proteinuria Reduction stage Renal Disease Results African American Study Kidney Disease Hypertension","15851648.0","Janice","Lea"
"Lean et al. (1999)","Impairment of Health and Quality of Life Using New US Federal Guidelines for the Identification of Obesity","http://archinte.jamanetwork.com/article.aspx?articleid=485007","Archives of Internal Medicine","1999","04 - Apr","Male","Lean 1999 Impairment Health Quality Using Federal Guidelines Identification Obesity","10219929.0","M E","Lean"
"Leclerc et al. (1998)","The Incidence of Symptomatic Venous Thromboembolism During and After Prophylaxis With Enoxaparin A Multi-institutional Cohort Study of Patients Who Underwent Hip or Knee Arthroplasty","http://archinte.jamanetwork.com/article.aspx?articleid=191883","Archives of Internal Medicine","1998","04 - Apr","Male","Leclerc 1998 Incidence Symptomatic Venous Thromboembolism During After Prophylaxis Enoxaparin Multi institutional Cohort Study Patients Underwent Arthroplasty","9570173.0","J R","Leclerc"
"Lederle et al. (2000)","Yield of Repeated Screening for Abdominal Aortic Aneurysm After a 4-Year Interval","http://archinte.jamanetwork.com/article.aspx?articleid=415725","Archives of Internal Medicine","2000","04 - Apr","Male","Lederle 2000 Yield Repeated Screening Abdominal Aortic Aneurysm After Interval","10789604.0","F A","Lederle"
"Lederle et al. (2002)","Rupture Rate of Large Abdominal Aortic Aneurysms in Patients Refusing or Unfit for Elective Repair","http://jama.jamanetwork.com/article.aspx?articleid=195011","JAMA","2002","06 - Jun","Male","Lederle 2002 Rupture Large Abdominal Aortic Aneurysms Patients Refusing Unfit Elective Repair","12052126.0","Frank A","Lederle"
"Lederle et al. (2009)","Outcomes Following Endovascular vs Open Repair of Abdominal Aortic Aneurysm:","http://jama.jamanetwork.com/article.aspx?articleid=184706","JAMA","2009","10 - Oct","Male","Lederle 2009 Outcomes Following Endovascular Repair Abdominal Aortic Aneurysm","19826022.0","Frank A","Lederle"
"Ledermann et al. (2012)","Olaparib Maintenance Therapy in Platinum-Sensitive Relapsed Ovarian Cancer","http://www.nejm.org/doi/pdf/10.1056/NEJMoa1105535","NEJM","2012","04 - Apr","Male","Ledermann 2012 Olaparib Maintenance Therapy Platinum Sensitive Relapsed Ovarian Cancer","22452356.0","Jonathan","Ledermann"
"Lee et al. (1997)","Unrelated Donor Bone Marrow Transplantation for Chronic Myelogenous Leukemia: A Decision Analysis","http://annals.org/article.aspx?articleid=711024","Annals of Internal Medicine","1997","12 - Dec","Female","Lee 1997 Unrelated Donor Marrow Transplantation Chronic Myelogenous Leukemia Decision Analysis","9412310.0","S J","Lee"
"Lee et al. (1999)","Pulmonary Mucormycosis:   The Last 30 Years","http://archinte.jamanetwork.com/article.aspx?articleid=485069","Archives of Internal Medicine","1999","06 - Jun","Female","Lee 1999 Pulmonary Mucormycosis Years","10386506.0","F Y","Lee"
"Lee et al. (1999)","A Randomized Controlled Trial of an Enhanced Patient Compliance Program for Helicobacter pylori Therapy","http://archinte.jamanetwork.com/article.aspx?articleid=485149","Archives of Internal Medicine","1999","10 - Oct","Male","Lee 1999 Randomized Controlled Trial Enhanced Patient Compliance Program Helicobacter pylori Therapy","10547171.0","M","Lee"
"Lee et al. (2002)","Economic Analysis of Influenza Vaccination and Antiviral Treatment for Healthy Working Adults","http://annals.org/article.aspx?articleid=715569","Annals of Internal Medicine","2002","08 - Aug","Male","Lee 2002 Economic Analysis Influenza Vaccination Antiviral Treatment Healthy Working Adults","12186512.0","Patrick Y","Lee"
"Lee et al. (2003)","Effects of Lifestyle on Hemostasis| Fibrinolysis| and Platelet Reactivity:   A Systematic Review","http://archinte.jamanetwork.com/article.aspx?articleid=216236","Archives of Internal Medicine","2003","10 - Oct","Male","Lee 2003 Effects Lifestyle Hemostasis Fibrinolysis Platelet Reactivity Systematic Review","14581258.0","Kaeng W","Lee"
"Lee et al. (2005)","Maternal and Infant Characteristics Associated With Perinatal Arterial Stroke in the Infant","http://jama.jamanetwork.com/article.aspx?articleid=200335","JAMA","2005","02 - Feb","Female","Lee 2005 Maternal Infant Characteristics Associated Perinatal Arterial Stroke Infant","15701914.0","Janet","Lee"
"Lee et al. (2006)","Effect of hepatitis B immunisation in newborn infants of mothers positive for hepatitis B surface antigen: systematic review and meta-analysis","","BMJ","2006","02 - Feb","Male","Lee 2006 Effect hepatitis immunisation newborn infants mothers positive hepatitis surface antigen systematic review analysis","16443611.0","Chuanfang","Lee"
"Lee et al. (2007)","Gaps in Vaccine Financing for Underinsured Children in the United States","http://jama.jamanetwork.com/article.aspx?articleid=208343","JAMA","2007","08 - Aug","Female","Lee 2007 Vaccine Financing Underinsured Children United States","17684186.0","Grace M","Lee"
"Lee et al. (2009)","Combined Effects of Cardiorespiratory Fitness| Not Smoking| and Normal Waist Girth on Morbidity and Mortality in Men","http://archinte.jamanetwork.com/article.aspx?articleid=773875","Archives of Internal Medicine","2009","12 - Dec","Female","Lee 2009 Combined Effects Cardiorespiratory Fitness Smoking Normal Waist Girth Morbidity Mortality","20008693.0","Chong-Do","Lee"
"Lee et al. (2009)","Risk Factors for Fluconazole-Resistant Candida glabrata Bloodstream Infections","http://archinte.jamanetwork.com/article.aspx?articleid=414813","Archives of Internal Medicine","2009","02 - Feb","Male","Lee 2009 Factors Fluconazole Resistant Candida glabrata Bloodstream Infections","19237722.0","Ingi","Lee"
"Lee et al. (2009)","Outcomes Associated With Tiotropium Use in Patients With Chronic Obstructive Pulmonary Disease","http://archinte.jamanetwork.com/article.aspx?articleid=1108511","Archives of Internal Medicine","2009","08 - Aug","Male","Lee 2009 Outcomes Associated Tiotropium Patients Chronic Obstructive Pulmonary Disease","19667304.0","Todd A","Lee"
"Lee et al. (2010)","Low glomerular filtration rate and risk of stroke: meta-analysis","","BMJ","2010","10 - Oct","Male","Lee 2010 glomerular filtration stroke analysis","20884696.0","Meng","Lee"
"Lee et al. (2010)","Oseltamivir Ring Prophylaxis for Containment of 2009 H1N1 Influenza Outbreaks","http://www.nejm.org/doi/pdf/10.1056/NEJMoa0908482","NEJM","2010","06 - Jun","Male","Lee 2010 Oseltamivir Prophylaxis Containment Influenza Outbreaks","20558367.0","Vernon J","Lee"
"Lee et al. (2012)","Effect of Nonpayment for Preventable Infections in U.S. Hospitals","http://www.nejm.org/doi/pdf/10.1056/NEJMsa1202419","NEJM","2012","10 - Oct","Female","Lee 2012 Effect Nonpayment Preventable Infections Hospitals","23050526.0","Grace M","Lee"
"Lee et al. (2014)","Epidermal Growth Factor Receptor Tyrosine Kinase Inhibitors vs Conventional Chemotherapy in Non–Small Cell Lung Cancer Harboring Wild-Type Epidermal Growth Factor Receptor:    A Meta-analysis","http://jama.jamanetwork.com/article.aspx?articleid=1857337","JAMA","2014","04 - Apr","Female","Lee 2014 Epidermal Growth Factor Receptor Tyrosine Kinase Inhibitors Conventional Chemotherapy Non–Small Cancer Harboring Epidermal Growth Factor Receptor analysis","24715074.0","June-Koo","Lee"
"Lees et al. (2006)","NXY-059 for Acute Ischemic Stroke","http://www.nejm.org/doi/pdf/10.1056/NEJMoa052980","NEJM","2006","02 - Feb","Male","Lees 2006 Acute Ischemic Stroke","","",""
"Leffler et al. (2010)","The Incidence and Cost of Unexpected Hospital Use After Scheduled Outpatient Endoscopy","http://archinte.jamanetwork.com/article.aspx?articleid=226125","Archives of Internal Medicine","2010","10 - Oct","Male","Leffler 2010 Incidence Unexpected Hospital After Scheduled Outpatient Endoscopy","20975024.0","Daniel A","Leffler"
"Leger et al. (1997)","Reduced final height and indications for insulin resistance in 20 year olds born small for gestational age: regional cohort study","","BMJ","1997","08 - Aug","Female","Leger 1997 Reduced final height indications insulin resistance small gestational regional cohort study","9270455.0","J","Leger"
"Legro et al. (2007)","Clomiphene| Metformin| or Both for Infertility in the Polycystic Ovary Syndrome","http://www.nejm.org/doi/pdf/10.1056/NEJMoa063971","NEJM","2007","02 - Feb","Male","Legro 2007 Clomiphene Metformin Infertility Polycystic Ovary Syndrome","17287476.0","Richard S","Legro"
"Lehrman et al. (2005)","Depletion of latent HIV-1 infection in vivo: a proof-of-concept study","http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(05)67098-5/abstract","The Lancet","2005","08 - Aug","Female","Lehrman 2005 Depletion latent infection proof concept study","16099290.0","Ginger","Lehrman"
"Leigh et al. (2010)","Physician Wages Across Specialties:   Informing the Physician Reimbursement Debate","http://archinte.jamanetwork.com/article.aspx?articleid=226114","Archives of Internal Medicine","2010","10 - Oct","Male","Leigh 2010 Physician Wages Across Specialties Informing Physician Reimbursement Debate","20975019.0","J Paul","Leigh"
"Leinonen et al. (2012)","Detection rates of precancerous and cancerous cervical lesions within one screening round of primary human papillomavirus DNA testing: prospective randomised trial in Finland","","BMJ","2012","12 - Dec","Female","Leinonen 2012 Detection rates precancerous cancerous cervical lesions within screening round primary human papillomavirus testing prospective randomised trial Finland","23197596.0","Maarit K","Leinonen"
"Leitzmann et al. (1999)","A Prospective Study of Coffee Consumption and the Risk of Symptomatic Gallstone Disease in Men","http://jama.jamanetwork.com/article.aspx?articleid=190309","JAMA","1999","06 - Jun","Male","Leitzmann 1999 Prospective Study Coffee Consumption Symptomatic Gallstone Disease","10367821.0","M F","Leitzmann"
"Leitzmann et al. (2007)","Physical Activity Recommendations and Decreased Risk of Mortality","http://archinte.jamanetwork.com/article.aspx?articleid=770017","Archives of Internal Medicine","2007","12 - Dec","Male","Leitzmann 2007 Physical Activity Recommendations Decreased Mortality","18071167.0","Michael F","Leitzmann"
"Lemaitre et al. (2006)","Esterified Estrogen and Conjugated Equine Estrogen and the Risk of Incident Myocardial Infarction and Stroke","http://archinte.jamanetwork.com/article.aspx?articleid=409883","Archives of Internal Medicine","2006","02 - Feb","Female","Lemaitre 2006 Esterified Estrogen Conjugated Equine Estrogen Incident Myocardial Infarction Stroke","16505258.0","Rozenn N","Lemaitre"
"Lembo et al. (2011)","Two Randomized Trials of Linaclotide for Chronic Constipation","http://www.nejm.org/doi/pdf/10.1056/NEJMoa1010863","NEJM","2011","08 - Aug","Male","Lembo 2011 Randomized Trials Linaclotide Chronic Constipation","21830967.0","Anthony J","Lembo"
"Lemieux et al. (2001)","Total Cholesterol/HDL Cholesterol Ratio vs LDL Cholesterol/HDL Cholesterol Ratio as Indices of Ischemic Heart Disease Risk in Men The Quebec Cardiovascular Study","http://archinte.jamanetwork.com/article.aspx?articleid=752318","Archives of Internal Medicine","2001","12 - Dec","Female","Lemieux 2001 Total Cholesterol Cholesterol Ratio Cholesterol Cholesterol Ratio Indices Ischemic Heart Disease Quebec Cardiovascular Study","11732933.0","I","Lemieux"
"Lenhard et al. (2001)","Continuous Subcutaneous Insulin Infusion:   A Comprehensive Review of Insulin Pump Therapy","http://archinte.jamanetwork.com/article.aspx?articleid=649321","Archives of Internal Medicine","2001","10 - Oct","Male","Lenhard 2001 Continuous Subcutaneous Insulin Infusion Comprehensive Review Insulin Therapy","11606144.0","M J","Lenhard"
"Lennon et al. (2004)","A serum autoantibody marker of neuromyelitis optica: distinction from multiple sclerosis","http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(04)17551-X/abstract","The Lancet","2004","12 - Dec","Female","Lennon 2004 serum autoantibody marker neuromyelitis optica distinction multiple sclerosis","15589308.0","Vanda A","Lennon"
"Leon et al. (1997)","Huge variation in Russian mortality rates 1984—94: artefact| alcohol| or what?","http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(97)03360-6/abstract","The Lancet","1997","08 - Aug","Male","Leon 1997 variation Russian mortality rates 1984—94 artefact alcohol","9259651.0","D A","Leon"
"Leonard et al. (2006)","Potentially Modifiable Resident Characteristics That Are Associated With Physical or Verbal Aggression Among Nursing Home Residents With Dementia","http://archinte.jamanetwork.com/article.aspx?articleid=410531","Archives of Internal Medicine","2006","06 - Jun","Male","Leonard 2006 Potentially Modifiable Resident Characteristics Associated Physical Verbal Aggression Among Nursing Residents Dementia","16801512.0","Ralph","Leonard"
"Leong et al. (2003)","The Economic Consequences of Irritable Bowel Syndrome A US Employer Perspective","http://archinte.jamanetwork.com/article.aspx?articleid=215426","Archives of Internal Medicine","2003","04 - Apr","Female","Leong 2003 Economic Consequences Irritable Bowel Syndrome Employer Perspective","12719202.0","Stephanie A","Leong"
"Leslie et al. (2007)","Single-Site vs Multisite Bone Density Measurement for Fracture Prediction","http://archinte.jamanetwork.com/article.aspx?articleid=769853","Archives of Internal Medicine","2007","08 - Aug","Male","Leslie 2007 Single Multisite Density Measurement Fracture Prediction","17698687.0","William D","Leslie"
"Leung et al. (2004)","Laparoscopic resection of rectosigmoid carcinoma: prospective randomised trial","http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(04)15947-3/abstract","The Lancet","2004","04 - Apr","Male","Leung 2004 Laparoscopic resection rectosigmoid carcinoma prospective randomised trial","15081650.0","Ka Lau","Leung"
"Leung et al. (2007)","Lower Risk of Tuberculosis in Obesity","http://archinte.jamanetwork.com/article.aspx?articleid=412684","Archives of Internal Medicine","2007","06 - Jun","Male","Leung 2007 Lower Tuberculosis Obesity","17592104.0","Chi C","Leung"
"Leung et al. (2012)","Preoperative Hyponatremia and Perioperative Complications","http://archinte.jamanetwork.com/article.aspx?articleid=1357514","Archives of Internal Medicine","2012","10 - Oct","Male","Leung 2012 Preoperative Hyponatremia Perioperative Complications","22965221.0","Alexander A","Leung"
"Leveille et al. (2001)","Widespread Musculoskeletal Pain and the Progression of Disability in Older Disabled Women","http://annals.org/article.aspx?articleid=714967","Annals of Internal Medicine","2001","12 - Dec","Female","Leveille 2001 Widespread Musculoskeletal Progression Disability Older Disabled Women","11747382.0","S G","Leveille"
"Levey et al. (2006)","Using Standardized Serum Creatinine Values in the Modification of Diet in Renal Disease Study Equation for Estimating Glomerular Filtration Rate","http://annals.org/article.aspx?articleid=727341","Annals of Internal Medicine","2006","08 - Aug","Female","Levey 2006 Using Standardized Serum Creatinine Values Modification Renal Disease Study Equation Estimating Glomerular Filtration","16908915.0","Andrew S","Levey"
"Levi et al. (2007)","A Quantitative Immunochemical Fecal Occult Blood Test for Colorectal Neoplasia","http://annals.org/article.aspx?articleid=733141","Annals of Internal Medicine","2007","02 - Feb","Male","Levi 2007 Quantitative Immunochemical Fecal Occult Blood Colorectal Neoplasia","17310048.0","Zohar","Levi"
"Levin et al. (2006)","Complications of Colonoscopy in an Integrated Health Care Delivery System","http://annals.org/article.aspx?articleid=731108","Annals of Internal Medicine","2006","12 - Dec","Male","Levin 2006 Complications Colonoscopy Integrated Health Delivery System","17179057.0","Theodore R","Levin"
"Levine et al. (2006)","Neutropenia in Human Immunodeficiency Virus Infection:   Data From the Women's Interagency HIV Study","http://archinte.jamanetwork.com/article.aspx?articleid=409872","Archives of Internal Medicine","2006","02 - Feb","Female","Levine 2006 Neutropenia Human Immunodeficiency Virus Infection Women Interagency Study","16505259.0","Alexandra M","Levine"
"Levine et al. (2009)","Pre-eclampsia| soluble fms-like tyrosine kinase 1| and the risk of reduced thyroid function: nested case-control and population based study","","BMJ","2009","12 - Dec","Male","Levine 2009 eclampsia soluble tyrosine kinase reduced thyroid function nested control population based study","19920004.0","Richard J","Levine"
"Levine et al. (2010)","Narrative Review: The Role of Th2 Immune Pathway Modulation in the Treatment of Severe Asthma and Its Phenotypes","http://annals.org/article.aspx?articleid=745600","Annals of Internal Medicine","2010","02 - Feb","Unknown","Levine 2010 Narrative Review Immune Pathway Modulation Treatment Severe Asthma Phenotypes","20157138.0","Stewart J","Levine"
"Levis et al. (2011)","Soy Isoflavones in the Prevention of Menopausal Bone Loss and Menopausal Symptoms A Randomized| Double-blind Trial","http://archinte.jamanetwork.com/article.aspx?articleid=1106084","Archives of Internal Medicine","2011","08 - Aug","Female","Levis 2011 Isoflavones Prevention Menopausal Menopausal Symptoms Randomized Double blind Trial","21824950.0","Silvina","Levis"
"Levitan et al. (2004)","Is Nondiabetic Hyperglycemia a Risk Factor for Cardiovascular Disease?    A Meta-analysis of Prospective Studies","http://archinte.jamanetwork.com/article.aspx?articleid=217549","Archives of Internal Medicine","2004","10 - Oct","Female","Levitan 2004 Nondiabetic Hyperglycemia Factor Cardiovascular Disease analysis Prospective Studies","15505129.0","Emily B","Levitan"
"Levy et al. (2007)","Efficacy of sapropterin dihydrochloride (tetrahydrobiopterin| 6R-BH4) for reduction of phenylalanine concentration in patients with phenylketonuria: a phase III randomised placebo-controlled study","http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(07)61234-3/abstract","The Lancet","2007","08 - Aug","Male","Levy 2007 Efficacy sapropterin dihydrochloride tetrahydrobiopterin reduction phenylalanine concentration patients phenylketonuria phase randomised placebo controlled study","17693179.0","Harvey L","Levy"
"Lewis et al. (2003)","Detection of Proximal Adenomatous Polyps With Screening Sigmoidoscopy:   A Systematic Review and Meta-analysis of Screening Colonoscopy","http://archinte.jamanetwork.com/article.aspx?articleid=215168","Archives of Internal Medicine","2003","06 - Jun","Male","Lewis 2003 Detection Proximal Adenomatous Polyps Screening Sigmoidoscopy Systematic Review analysis Screening Colonoscopy","12588199.0","James D","Lewis"
"Lewis et al. (2003)","Argatroban Anticoagulation in Patients With Heparin-Induced Thrombocytopenia","http://archinte.jamanetwork.com/article.aspx?articleid=755826","Archives of Internal Medicine","2003","08 - Aug","Male","Lewis 2003 Argatroban Anticoagulation Patients Heparin Induced Thrombocytopenia","12912723.0","Bruce E","Lewis"
"Li et al. (2003)","Exposure to non-steroidal anti-inflammatory drugs during pregnancy and risk of miscarriage: population based cohort study","","BMJ","2003","08 - Aug","Male","Li 2003 Exposure steroidal inflammatory drugs during pregnancy miscarriage population based cohort study","12919986.0","De-Kun","Li"
"Li et al. (2012)","Tai Chi and Postural Stability in Patients with Parkinson’s Disease","http://www.nejm.org/doi/pdf/10.1056/NEJMoa1107911","NEJM","2012","02 - Feb","Male","Li 2012 Postural Stability Patients Parkinson’s Disease","22316445.0","Fuzhong","Li"
"Li et al. (2013)","Prevalence of Unruptured Cerebral Aneurysms in Chinese Adults Aged 35 to 75 Years: A Cross-sectional Study","http://annals.org/article.aspx?articleid=1748842","Annals of Internal Medicine","2013","10 - Oct","Female","Li 2013 Prevalence Unruptured Cerebral Aneurysms Chinese Adults Years Cross sectional Study","24126645.0","Ming-Hua","Li"
"Li et al. (2013)","Better Diet Quality and Decreased Mortality Among Myocardial Infarction Survivors","http://archinte.jamanetwork.com/article.aspx?articleid=1733453","Archives of Internal Medicine","2013","10 - Oct","Female","Li 2013 Better Quality Decreased Mortality Among Myocardial Infarction Survivors","23999993.0","Shanshan","Li"
"Li et al. (2014)","Sildenafil Use and Increased Risk of Incident Melanoma in US Men:   A Prospective Cohort Study","http://archinte.jamanetwork.com/article.aspx?articleid=1857095","Archives of Internal Medicine","2014","06 - Jun","Female","Li 2014 Sildenafil Increased Incident Melanoma Prospective Cohort Study","24710960.0","Wen-Qing","Li"
"Lidegaard et al. (2012)","Thrombotic Stroke and Myocardial Infarction with Hormonal Contraception","http://www.nejm.org/doi/pdf/10.1056/NEJMoa1111840","NEJM","2012","06 - Jun","Male","Lidegaard 2012 Thrombotic Stroke Myocardial Infarction Hormonal Contraception","22693997.0","Øjvind","Lidegaard"
"Lie et al. (2001)","Survival and Reproduction Among Males With Birth Defects and Risk of Recurrence in Their Children","http://jama.jamanetwork.com/article.aspx?articleid=193546","JAMA","2001","02 - Feb","Male","Lie 2001 Survival Reproduction Among Males Birth Defects Recurrence Their Children","11176913.0","R T","Lie"
"Lieberman et al. (2003)","Risk Factors for Advanced Colonic Neoplasia and Hyperplastic Polyps in Asymptomatic Individuals","http://jama.jamanetwork.com/article.aspx?articleid=197804","JAMA","2003","12 - Dec","Male","Lieberman 2003 Factors Advanced Colonic Neoplasia Hyperplastic Polyps Asymptomatic Individuals","14665657.0","David A","Lieberman"
"Lienhardt et al. (2011)","Efficacy and Safety of a 4-Drug Fixed-Dose Combination Regimen Compared With Separate Drugs for Treatment of Pulmonary Tuberculosis:    The Study C Randomized Controlled Trial","http://jama.jamanetwork.com/article.aspx?articleid=896632","JAMA","2011","04 - Apr","Male","Lienhardt 2011 Efficacy Safety Fixed Combination Regimen Compared Separate Drugs Treatment Pulmonary Tuberculosis Study Randomized Controlled Trial","21486974.0","Christian","Lienhardt"
"Liew et al. (2013)","The Association of Aspirin Use With Age-Related Macular Degeneration","http://archinte.jamanetwork.com/article.aspx?articleid=1558450","Archives of Internal Medicine","2013","02 - Feb","Male","Liew 2013 Association Aspirin Related Macular Degeneration","23337937.0","Gerald","Liew"
"Likosky et al. (2013)","Growth in Medicare Expenditures for Patients With Acute Myocardial Infarction:   A Comparison of 1998 Through 1999 and 2008","http://archinte.jamanetwork.com/article.aspx?articleid=1740698","Archives of Internal Medicine","2013","12 - Dec","Male","Likosky 2013 Growth Medicare Expenditures Patients Acute Myocardial Infarction Comparison Through","24061277.0","Donald S","Likosky"
"Lim et al. (2005)","The Association of Obesity| Cytokine Levels| and Depressive Symptoms With Diverse Measures of Fatigue in Healthy Subjects","http://archinte.jamanetwork.com/article.aspx?articleid=486512","Archives of Internal Medicine","2005","04 - Apr","Male","Lim 2005 Association Obesity Cytokine Levels Depressive Symptoms Diverse Measures Fatigue Healthy Subjects","15851643.0","Weonjeong","Lim"
"Lim et al. (2008)","Tracking progress towards universal childhood immunisation and the impact of global initiatives: a systematic analysis of three-dose diphtheria| tetanus| and pertussis immunisation coverage","http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(08)61869-3/abstract","The Lancet","2008","12 - Dec","Male","Lim 2008 Tracking progress towards universal childhood immunisation impact global initiatives systematic analysis three diphtheria tetanus pertussis immunisation coverage","19070738.0","Stephen S","Lim"
"Lin et al. (2004)","Quantification of Plasma Epstein–Barr Virus DNA in Patients with Advanced Nasopharyngeal Carcinoma","http://www.nejm.org/doi/pdf/10.1056/NEJMoa032260","NEJM","2004","06 - Jun","Male","Lin 2004 Quantification Plasma Epstein–Barr Virus Patients Advanced Nasopharyngeal Carcinoma","15190138.0","Jin-Ching","Lin"
"Lin et al. (2005)","Risk of Proximal Colon Neoplasia With Distal Hyperplastic Polyps:   A Meta-analysis","http://archinte.jamanetwork.com/article.aspx?articleid=486429","Archives of Internal Medicine","2005","02 - Feb","Male","Lin 2005 Proximal Colon Neoplasia Distal Hyperplastic Polyps analysis","15738366.0","Otto S","Lin"
"Lin et al. (2007)","Cardiologists' Use of Percutaneous Coronary Interventions for Stable Coronary Artery Disease","http://archinte.jamanetwork.com/article.aspx?articleid=769857","Archives of Internal Medicine","2007","08 - Aug","Female","Lin 2007 Cardiologists Percutaneous Coronary Interventions Stable Coronary Artery Disease","17698682.0","Grace A","Lin"
"Lin et al. (2013)","Hearing Loss and Cognitive Decline in Older Adults","http://archinte.jamanetwork.com/article.aspx?articleid=1558452","Archives of Internal Medicine","2013","02 - Feb","Male","Lin 2013 Hearing Cognitive Decline Older Adults","23337978.0","Frank R","Lin"
"Lincoff et al. (2004)","Long-term Efficacy of Bivalirudin and Provisional Glycoprotein IIb/IIIa Blockade vs Heparin and Planned Glycoprotein IIb/IIIa Blockade During Percutaneous Coronary Revascularization:    REPLACE-2 Randomized Trial","http://jama.jamanetwork.com/article.aspx?articleid=199236","JAMA","2004","08 - Aug","Male","Lincoff 2004 Efficacy Bivalirudin Provisional Glycoprotein Blockade Heparin Planned Glycoprotein Blockade During Percutaneous Coronary Revascularization REPLACE Randomized Trial","15304466.0","A Michael","Lincoff"
"Lindegren et al. (1999)","Trends in Perinatal Transmission of HIV/AIDS in the United States","http://jama.jamanetwork.com/article.aspx?articleid=191105","JAMA","1999","08 - Aug","Female","Lindegren 1999 Trends Perinatal Transmission United States","10450714.0","M L","Lindegren"
"Linden et al. (2001)","Individualized Stress Management for Primary Hypertension A Randomized Trial","http://archinte.jamanetwork.com/article.aspx?articleid=647952","Archives of Internal Medicine","2001","04 - Apr","Male","Linden 2001 Individualized Stress Management Primary Hypertension Randomized Trial","11322841.0","W","Linden"
"Lindenmayer et al. (1998)","Methicillin-Resistant Staphylococcus aureus in a High School Wrestling Team and the Surrounding Community","http://archinte.jamanetwork.com/article.aspx?articleid=191887","Archives of Internal Medicine","1998","04 - Apr","Female","Lindenmayer 1998 Methicillin Resistant Staphylococcus aureus School Wrestling Surrounding Community","9570176.0","J M","Lindenmayer"
"Linder et al. (2009)","An Electronic Health Record–Based Intervention to Improve Tobacco Treatment in Primary Care A Cluster-Randomized Controlled Trial","http://archinte.jamanetwork.com/article.aspx?articleid=414914","Archives of Internal Medicine","2009","04 - Apr","Male","Linder 2009 Electronic Health Record–Based Intervention Improve Tobacco Treatment Primary Cluster Randomized Controlled Trial","19398690.0","Jeffrey A","Linder"
"Ling et al. (2010)","Buprenorphine Implants for Treatment of Opioid Dependence:","http://jama.jamanetwork.com/article.aspx?articleid=186711","JAMA","2010","10 - Oct","Male","Ling 2010 Buprenorphine Implants Treatment Opioid Dependence","20940383.0","Walter","Ling"
"Linglart et al. (2011)","Recurrent PRKAR1A Mutation in Acrodysostosis with Hormone Resistance","http://www.nejm.org/doi/pdf/10.1056/NEJMoa1012717","NEJM","2011","06 - Jun","Male","Linglart 2011 Recurrent PRKAR1A Mutation Acrodysostosis Hormone Resistance","21651393.0","Agnès","Linglart"
